CPTCode,ShortDescription
88107,"Cytopathology, fluids, washings or brushings, except cervical or vaginal; smears and simple filter preparation with interpretation"
88318,"Determinative histochemistry to identify chemical components (eg, copper, zinc)"
88384,Array-based evaluation of multiple molecular probes; 11 through 50 probes
88385,Array-based evaluation of multiple molecular probes; 51 through 250 probes
88386,Array-based evaluation of multiple molecular probes; 251 through 500 probes
88400,"Bilirubin, total, transcutaneous"
89100,"Duodenal intubation and aspiration; single specimen (eg, simple bile study or afferent loop culture) plus appropriate test procedure"
89105,"Duodenal intubation and aspiration; collection of multiple fractional specimens with pancreatic or gallbladder stimulation, single or double lumen tube"
89130,"Gastric intubation and aspiration, diagnostic, each specimen, for chemical analyses or cytopathology;"
89132,"Gastric intubation and aspiration, diagnostic, each specimen, for chemical analyses or cytopathology; after stimulation"
89135,"Gastric intubation, aspiration, and fractional collections (eg, gastric secretory study); 1 hour"
89136,"Gastric intubation, aspiration, and fractional collections (eg, gastric secretory study); 2 hours"
89140,"Gastric intubation, aspiration, and fractional collections (eg, gastric secretory study); 2 hours including gastric stimulation (eg, histalog, pentagastrin)"
89141,"Gastric intubation, aspiration, and fractional collections (eg, gastric secretory study); 3 hours, including gastric stimulation"
89225,"Starch granules, feces"
89235,Water load test
90379,"Respiratory syncytial virus immune globulin (RSV-IgIV), human, for intravenous use"
90465,"Immunization administration younger than 8 years of age (includes percutaneous, intradermal, subcutaneous, or intramuscular injections) when the physician counsels the patient/family; first injection (single or combination vaccine/toxoid), per day"
90466,"Immunization administration younger than 8 years of age (includes percutaneous, intradermal, subcutaneous, or intramuscular injections) when the physician counsels the patient/family; each additional injection (single or combination vaccine/toxoid), per day (List separately in addition to code for primary procedure)"
90467,"Immunization administration younger than age 8 years (includes intranasal or oral routes of administration) when the physician counsels the patient/family; first administration (single or combination vaccine/toxoid), per day"
90468,"Immunization administration younger than age 8 years (includes intranasal or oral routes of administration) when the physician counsels the patient/family; each additional administration (single or combination vaccine/toxoid), per day (List separately in addition to code for primary procedure)"
90470,"H1N1 immunization administration (intramuscular, intranasal), including counseling when performed"
90663,"Influenza virus vaccine, pandemic formulation, H1N1"
90665,"Lyme disease vaccine, adult dosage, for intramuscular use"
90701,"Diphtheria, tetanus toxoids, and whole cell pertussis vaccine (DTP), for intramuscular use"
90718,"Tetanus and diphtheria toxoids (Td) adsorbed when administered to individuals 7 years or older, for intramuscular use"
90760,"Intravenous infusion, hydration; initial, 31 minutes to 1 hour"
90761,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)"
90765,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour"
90766,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)"
90767,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion, up to 1 hour (List separately in addition to code for primary procedure)"
90768,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)"
90769,"Subcutaneous infusion for therapy or prophylaxis (specify substance or drug); initial, up to one hour, including pump set-up and establishment of subcutaneous infusion site(s)"
90770,Subcutaneous infusion for therapy or prophylaxis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)
90771,Subcutaneous infusion for therapy or prophylaxis (specify substance or drug); additional pump set-up with establishment of new subcutaneous infusion site(s) (List separately in addition to code for primary procedure)
90772,"Therapeutic, prophylactic or diagnostic injection (specify substance or drug); subcutaneous or intramuscular"
90773,"Therapeutic, prophylactic or diagnostic injection (specify substance or drug); intra-arterial"
90774,"Therapeutic, prophylactic or diagnostic injection (specify substance or drug); intravenous push, single or initial substance/drug"
90775,"Therapeutic, prophylactic or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)"
90776,"Therapeutic, prophylactic or diagnostic injection (specify substance or drug); each additional sequential intravenous push of the same substance/drug provided in a facility (List separately in addition to code for primary procedure)"
90779,"Unlisted therapeutic, prophylactic or diagnostic intravenous or intra-arterial injection or infusion"
90801,Psychiatric diagnostic interview examination
90802,"Interactive psychiatric diagnostic interview examination using play equipment, physical devices, language interpreter, or other mechanisms of communication"
90804,"Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 20 to 30 minutes face-to-face with the patient;"
90805,"Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 20 to 30 minutes face-to-face with the patient; with medical evaluation and management services"
90806,"Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 45 to 50 minutes face-to-face with the patient;"
90807,"Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 45 to 50 minutes face-to-face with the patient; with medical evaluation and management services"
90808,"Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 75 to 80 minutes face-to-face with the patient;"
90809,"Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 75 to 80 minutes face-to-face with the patient; with medical evaluation and management services"
90810,"Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an office or outpatient facility, approximately 20 to 30 minutes face-to-face with the patient;"
90811,"Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an office or outpatient facility, approximately 20 to 30 minutes face-to-face with the patient; with medical evaluation and management services"
90812,"Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an office or outpatient facility, approximately 45 to 50 minutes face-to-face with the patient;"
90813,"Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an office or outpatient facility, approximately 45 to 50 minutes face-to-face with the patient; with medical evaluation and management services"
90814,"Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an office or outpatient facility, approximately 75 to 80 minutes face-to-face with the patient;"
90815,"Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an office or outpatient facility, approximately 75 to 80 minutes face-to-face with the patient; with medical evaluation and management services"
