HCPCSCode,ShortDescription
G8324,Clinician has not provided care for the cataract patient for the required time for pre-surgical measurement and intraocular lens power calculation measure
G8325,Patient documented to have received fundus evaluation within six months prior to cataract surgery
G8326,Patient not documented to have received fundus evaluation within six months prior to cataract surgery
G8327,Patient was not an eligible candidate for pre-surgical fundus evaluation
G8328,Clinician has not provided care for the cataract patient for the required time for fundus evaluation measurement
G8329,Patient documented to have received dilated macular or fundus exam with level of severity of retinopathy and the presence or absence of macular edema documented
G8330,Patient not documented to have received dilated macular or fundus exam with level of severity of retinopathy and the presence or absence of macular edema not documented
G8331,Clinician documentation that patient was not an eligible candidate for dilated macular or fundus exam during the reporting year
G8332,Clinician has not provided care for the diabetic retinopathy patient for the required time for macular edema and retinopathy measurement
G8333,Patient documented to have had findings of macular or fundus exam communicated to the physician managing the diabetes care
G8334,Documentation of findings of macular or fundus exam not communicated to the physician managing the patient's ongoing diabetes care
G8335,Clinician documentation that patient was not an eligible candidate for the findings of their macular or fundus exam being communicated to the physician managing their diabetes care during the reporting year
G8336,Clinician has not provided care for the diabetic retinopathy patient for the required time for physician communication measurement
G8337,Clinician documented that communication was sent to the physician managing ongoing care of patient that a fracture occurred and that the patient was or should be tested or treated for osteoporosis
G8338,Clinician has not documented that communication was sent to the physician managing ongoing care of patient that a fracture occurred and that the patient was or should be tested or treated for osteoporosis
G8339,Patient was not an eligible candidate for communication with the physician managing the patient's ongoing care that a fracture occurred and that the patient was or should be tested or treated for osteoporosis
G8340,Patient documented to have had central dexa performed and results documented or central dexa ordered or pharmacologic therapy prescribed
G8341,Patient not documented to have had central dexa measurement or pharmacologic therapy
G8342,Clinician documented that patient was not an eligible candidate for central dexa measurement or prescribing pharmacologic
G8343,Clinician has not provided care for the patient for the required time for central dexa measurement or pharmacological therapy measure
G8344,Patient documented to have had central dexa ordered or performed and results documented or pharmacological therapy prescribed
G8345,Patient not documented to have had central dexa measurement ordered or performed or pharmacologic therapy
G8346,Clinician documented that patient was not an eligible candidate for central dexa measurement or pharmacologic therapy
G8347,Clinician has not provided care for the patient for the required time for central dexa measurement or pharmacological therapy measure
G8348,Internal carotid stenosis patient in the 30-99% range documented to have reference to measurements of distal internal carotid diameter as the denominator for stenosis measurement
G8349,Patient was not an eligible candidate for documentation of presence or absence of alarm symptoms
G8350,Patient documented to have had 12-lead ecg performed
G8351,Patient not documented to have had ecg
G8352,Clinician documented that patient was not an eligible candidate for ecg
G8353,Patient documented to have received or taken aspirin 24 hours before emergency department arrival or during emergency department stay
G8354,Patient not documented to have received or taken aspirin 24 hours before emergency department arrival or during emergency department stay
G8355,Clinician documented that patient was not an eligible candidate to receive aspirin
G8356,Patient documented to have had ecg performed
G8357,Patient not documented to have had ecg
G8358,Clinician documented that patient was not an eligible candidate for ecg
G8359,Patient documented to have had vital signs recorded and reviewed
G8360,Patient not documented to have vital signs recorded and reviewed
G8361,Patient documented to have oxygen saturation assessed
G8362,Patient not documented to have oxygen saturation assessed
G8363,Clinician documented that patient was not an eligible candidate for oxygen saturation assessment
G8364,Patient documented to have mental status assessed
G8365,Patient not documented to have mental status assessed
G8366,Patient documented to have appropriate empiric antibiotic prescribed
G8367,Patient not documented to have appropriate empiric antibiotic prescribed
G8368,Clinician documented that patient was not an eligible candidate for appropriate empiric antibiotic
G8370,Asthma patients with numeric frequency of symptoms or patient completion of an asthma assessment tool/survey/questionnaire not documented
G8371,Chemotherapy documented as not received or prescribed for stage III colon cancer patients
G8372,Chemotherapy documented as received or prescribed for stage III colon cancer patients
G8373,Chemotherapy plan documented prior to chemotherapy administration
G8374,Chemotherapy plan not documented prior to chemotherapy administration
G8375,Chronic lymphocytic leukemia (CLL) patient with no documentation of baseline flow cytometry performed
G8376,Clinician documentation that breast cancer patient was not eligible for tamoxifen or aromatase inhibitor therapy measure
G8377,Clinician documentation that colon cancer patient is not eligible for chemotherapy measure
